epoch,sigma,train_acc,train_loss,val_acc,fpga_val_acc,val_loss,test_acc,test_loss,lr,lr_pos,time_s
131,0.5337,53.80,1.3297,77.53,78.67,1.0367,-1.00,-1.0000,3.16e-04,1.76e-03,76.3
132,0.4767,53.80,1.3273,77.37,77.89,1.0481,-1.00,-1.0000,2.81e-04,1.57e-03,78.0
133,0.4227,52.12,1.3388,78.45,78.04,1.0534,-1.00,-1.0000,2.48e-04,1.39e-03,77.5
134,0.3720,52.30,1.3512,78.39,77.65,1.0612,-1.00,-1.0000,2.16e-04,1.22e-03,76.2
135,0.3244,52.78,1.3622,78.62,78.21,1.0667,-1.00,-1.0000,1.87e-04,1.07e-03,76.7
136,0.2800,52.99,1.3469,77.85,77.87,1.0723,-1.00,-1.0000,1.59e-04,9.21e-04,76.3
137,0.2388,53.17,1.3602,77.87,77.96,1.0781,-1.00,-1.0000,1.34e-04,7.85e-04,76.4
138,0.2008,53.14,1.3433,77.87,78.04,1.0786,-1.00,-1.0000,1.11e-04,6.61e-04,76.9
139,0.1661,52.66,1.3542,77.68,77.71,1.0814,-1.00,-1.0000,9.01e-05,5.46e-04,77.3
140,0.1346,52.18,1.3755,77.96,78.00,1.0801,73.54,1.1089,7.13e-05,4.43e-04,77.3
141,0.1064,52.04,1.3745,77.76,78.34,1.0819,-1.00,-1.0000,5.47e-05,3.50e-04,77.0
142,0.0815,52.61,1.3759,77.29,78.11,1.0804,-1.00,-1.0000,4.02e-05,2.68e-04,76.4
143,0.0599,52.59,1.3680,77.68,77.91,1.0818,-1.00,-1.0000,2.79e-05,1.97e-04,77.4
144,0.0416,51.55,1.3869,78.41,78.14,1.0791,-1.00,-1.0000,1.79e-05,1.37e-04,77.2
145,0.0267,51.61,1.3913,77.80,77.97,1.0796,-1.00,-1.0000,1.01e-05,8.77e-05,76.6
146,0.0150,52.34,1.3794,78.00,77.76,1.0800,-1.00,-1.0000,4.49e-06,4.93e-05,76.5
147,0.0067,51.34,1.3894,77.71,77.76,1.0792,-1.00,-1.0000,1.14e-06,2.19e-05,77.6
148,0.0017,51.24,1.3842,77.59,77.76,1.0792,-1.00,-1.0000,2.00e-08,5.48e-06,76.9
149,0.0000,51.96,1.3956,77.76,77.76,1.0788,74.49,1.1034,1.14e-06,0.00e+00,76.9
